Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.76432418823242,35.66295790351814,27.08104880255562,29.246882194513173,855215656
1,2007-10-08,31.0870304107666,33.8716724266409,30.89161608347984,33.8716724266409,126671715
2,2007-10-09,33.20399856567383,33.49711775237022,29.42600566647774,31.103302962377576,116725709
3,2007-10-10,33.51341247558594,34.19736039018004,33.22029320288579,34.067083439975285,67931378
4,2007-10-11,37.258827209472656,39.08268637832119,33.220284746804865,39.08268637832119,106320954
5,2007-10-12,37.01456832885742,38.398746785559794,36.1514932334605,36.47718228209635,99410791
6,2007-10-15,37.50309371948242,38.0079142851918,37.17740474190455,37.7799302339115,41814972
7,2007-10-16,41.3299446105957,41.981327068369936,37.291401644011806,37.55195109316946,138614496
8,2007-10-17,44.55427932739258,45.59648177264833,34.555620214628334,37.12856536992031,204876259
9,2007-10-18,42.99095153808594,48.674225654841706,41.15080979829255,45.27077425719542,146617799
10,2007-10-19,42.84440231323242,44.58683946376112,40.71113656947558,42.01389265698263,110266491
11,2007-10-22,42.274436950683594,43.59347542357418,40.87397182332515,41.981317780867805,72253405
12,2007-10-23,45.28707504272461,45.694186365606484,43.31665358951202,43.31665358951202,74594921
13,2007-10-24,44.586849212646484,46.73639811051859,44.08202846789473,46.247860053444846,63055170
14,2007-10-25,44.48912811279297,45.53133470306439,39.29438667970368,43.072380047637715,34522489
15,2007-10-26,45.824462890625,46.557263300360084,44.04945568673483,45.27078970295997,62370025
16,2007-10-29,46.75267028808594,47.87629917362315,46.34555901324493,46.573543094131914,43657697
17,2007-10-30,47.79487991333008,49.0813489719697,45.987303089314935,47.387768612980764,79921711
18,2007-10-31,48.788230895996094,49.86300740530647,47.87630332819374,48.03914785226134,44655368
19,2007-11-01,47.697166442871094,50.36781811012925,47.30634227865962,49.99327662955328,50632492
20,2007-11-02,48.56024169921875,48.85336534573119,45.59647078873047,45.97101668873193,32001693
21,2007-11-05,49.55359649658203,50.64465559122983,48.23455332217856,48.52767697256157,38833135
22,2007-11-06,50.2049674987793,53.380434981860724,49.521019772781564,50.41666444749684,81880281
23,2007-11-07,49.47218322753906,51.84971172566178,48.36484124783041,51.133198405822455,33593141
24,2007-11-08,48.625370025634766,49.944412877626526,47.550598295068696,48.20197617236666,27990521
25,2007-11-12,49.797855377197266,50.677217354261884,45.87330067800362,47.15977386344273,35153735
26,2007-11-13,50.98662567138672,52.01254516276962,49.03249162401362,50.644653980072384,43830531
27,2007-11-14,50.3189582824707,52.59878103464591,50.05840446032995,51.88226354555798,36738579
28,2007-11-15,51.16575622558594,52.061400978907976,50.20497190504639,51.263461158972426,29242252
29,2007-11-16,50.807491302490234,51.96368535011782,50.221248520678536,50.93776600374642,18895294
30,2007-11-19,52.647647857666016,54.5529297037874,51.57287574828498,51.96369996195058,40716718
31,2007-11-20,51.833404541015625,53.90153008861515,51.198309373249906,52.43592993294539,26342171
32,2007-11-21,47.79487991333008,52.45223142235006,46.638681169873834,52.14282948454878,26814499
33,2007-11-22,46.150142669677734,49.21162285456489,44.14715616984103,47.290054188643,34096185
34,2007-11-23,49.211612701416016,49.50473186232961,46.44325230907504,49.17904292410584,27664090
35,2007-11-26,49.602447509765625,51.03547826454066,49.211623349794195,51.03547826454066,20159123
36,2007-11-27,48.38111877441406,50.44924507887547,47.876302525247105,50.44924507887547,20573198
37,2007-11-28,47.66460037231445,49.667591487556514,47.33891133470635,49.43960739425473,16435311
38,2007-11-29,46.378108978271484,49.11389469253199,45.7755836655179,48.853345354959814,25530967
39,2007-11-30,48.16942596435547,48.462545244734585,46.57355040012181,47.22492854204908,18437721
